"Barzahlen (Pay Cash Online)","Barzahlen"
"bz_frnt_whatis","What is Barzahlen?"
"bz_frnt_info","After completing your order you get a payment slip from Barzahlen that you can easily print out or have it sent via SMS to your mobile phone. With the help of that payment slip you can pay your online purchase at one of our retail partners (e.g. supermarket). You can find the next Barzahlen partner at <a href=""http://www.barzahlen.de/filialfinder"" style=""color: #63A924;"" target=""_blank"">http://www.barzahlen.de/filialfinder</a>."
"bz_frnt_partner","<b>A selection of our partners:</b>"
"bz_frnt_sandbox","The <strong>Sandbox Mode</strong> is active. All placed orders receive a test payment slip. Test payment slips cannot be handled by our retail partners."
"bz_frnt_processing_orderreceived","Your order has been received"
"bz_frnt_processing_title","Simple and secure online payment with cash"
"bz_frnt_processing_orderno","Your order#: %s"
"bz_frnt_processing_cntshp","Continue Shopping"
"bz_frnt_processing_transactionerror","An error occurred while transmitting your transaction. The order has been cancelled and the administrator has been notified about this. Please try again later."
"bz_frnt_processing_erroroccured","An Error occurred within the payment process!"
"bz_frnt_ipn_pending","Barzahlen: Payment slip requested and sent successfully."
"bz_frnt_ipn_paid","Barzahlen: The payment slip was paid successfully."
"bz_frnt_ipn_expired","Barzahlen: The time frame for the payment slip expired."
"bz_frnt_ipn_refund_pending","Barzahlen: The refund was requested successful."
"bz_frnt_ipn_refund_completed","Barzahlen: The refund was completed successful."
"bz_frnt_ipn_refund_expired","Barzahlen: The time frame for the refund expired."
"bz_frnt_ipn_denied","Barzahlen: Unable to request payment slip."
